Manufacturer,Model,Price,Transmission,Power,EngineCC,Fuel,Male,Female,Total
Volkswagen,Sharan,45.6995,6,114,1854.2,diesel,"3,393","1,195","4,962"
Nissan,Patrol,38.48247059,4.882352941,90.94117647,2953.588235,diesel,"3,913",802,"4,833"
Honda,Legend,69.397,5,173,3358.666667,petrol,"3,696",585,"4,476"
Saab,99,11.34,4,74,1985,petrol,"3,408",874,"4,461"
Morris,Ital,8.118,4,51.5,1487.5,petrol,"3,448",929,"4,443"
Hyundai,Sonata,31.7425,4.833333333,119.6666667,2116,petrol,"3,708",622,"4,432"
Suzuki,Alto,9.5628,4.6,50,996,petrol,"1,576","2,723","4,432"
Morris,Marina,5.758,4,43,1275,petrol,"3,346","1,013","4,422"
Mazda,Xedos,28.9602,4.4,100.8,1936.6,petrol,"3,487",684,"4,360"
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,"2,624","1,393","4,291"
Kia,Mentor,14.76166667,4.666666667,75,1594,petrol,"3,023","1,066","4,214"
Chrysler,Neon,19.71783333,4,98,1995,petrol,"2,968",910,"4,039"
Fiat,Strada,14.275,5,70,1997,diesel,"2,569","1,356","4,023"
Lancia,Delta,29.043,5.851851852,105.0740741,1638.888889,petrol,"3,016",713,"3,815"
Lada,Niva,12.241,5,57,1568,petrol,"2,749",779,"3,599"
BMW,M3,135.1055,6.5,309,3999,petrol,"3,133",340,"3,580"
BMW,Z3,39.7374,4.6,115,2234.4,petrol,"2,245","1,113","3,526"
Rover,2000,17.182,5,74,1994,petrol,"3,049",374,"3,483"
Mazda,MX-6,30.92666667,4.666666667,110.3333333,2328.333333,petrol,"2,500",824,"3,480"
Audi,Cabriolet,43.9745,4.5,98,2309,petrol,"2,746",571,"3,415"
BMW,640i,114.8758333,8,235,2979,petrol,"2,839",419,"3,363"
Suzuki,Samurai,12.25,5,43,1325,petrol,"1,797","1,459","3,356"
Nissan,Maxima,34.10357143,4.571428571,121.8571429,2555.285714,petrol,"2,659",372,"3,176"
Mercedes,SLS,264.675,7,420,6208,petrol,"2,244",695,"3,048"
Jaguar,XK,145.6466667,6,283,5000,petrol,"2,547",281,"2,943"
Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,diesel,"2,414",257,"2,843"
Skoda,105,4.626333333,4,34,1046,petrol,"1,786",943,"2,775"
Triumph,TR7,13.137,5,93.5,1998,petrol,"2,113",452,"2,661"
